"","arm_ref","telcent_ref","direction_ref","id","smallest_start_ref","largest_end_ref","arm_cut","telcent_cut","direction_cut","smallest_start_cut","largest_end_cut","label","overlap_start","overlap_end","overlap_length","overlap_pct_ref","overlap_pct_cut","combined_overlap"
"1","11q","tel","del","11q_tel_del",65684282,108811657,"11q","tel","del",98891705,101030001,"user",98891705,101030001,2138296,0.0495809448175318,1,0.524790472408766
"2","14q","tel","del","14q_tel_del",36767763,70883807,"14q","tel","del",96152753,99977852,"user",96152753,70883807,0,0,0,0
"3","16q","tel","del","16q_tel_del",66461199,79835240,"16q","tel","del",57023396,62070739,"user",66461199,62070739,0,0,0,0
"4","17q","tel","amp","17q_tel_amp",33762114,78388968,"17q","tel","amp",79762007,80562483,"user",79762007,78388968,0,0,0,0
"5","17q","tel","del","17q_tel_del",67590127,79604179,"17q","tel","del",65066553,71824676,"user",67590127,71824676,4234549,0.352466345243054,0.626586553692497,0.489526449467775
"6","18q","tel","del","18q_tel_del",24034873,49088839,"18q","tel","del",59000814,63549202,"user",59000814,49088839,0,0,0,0
"7","19p","tel","del","19p_tel_del",797391,15663128,"19p","tel","del",2819871,15807984,"user",2819871,15663128,12843257,0.863950236708748,0.988847032667486,0.926398634688117
"8","1p","tel","del","1p_tel_del",6845383,117645491,"1p","tel","del",22005071,113748875,"user",22005071,113748875,91743804,0.828011864392768,1,0.914005932196384
"9","1q","tel","del","1q_tel_del",170143519,204527248,"1q","tel","del",210851656,246670644,"user",210851656,204527248,0,0,0,0
"10","20q","tel","amp","20q_tel_amp",52169308,52687304,"20q","tel","amp",50003493,56287836,"user",52169308,52687304,517996,1,0.0824264366219349,0.541213218310967
"11","2p","tel","del","2p_tel_del",29415639,58387055,"2p","tel","del",11319884,47614167,"user",29415639,47614167,18198528,0.62815459209864,0.50141582904393,0.564785210571285
"12","3q","tel","amp","3q_tel_amp",167967309,180700539,"3q","tel","amp",142443265,159615155,"user",167967309,159615155,0,0,0,0
"13","3q","tel","del","3q_tel_del",170136652,184300196,"3q","tel","del",158787040,179754841,"user",170136652,179754841,9618189,0.679080673594123,0.458712337073401,0.568896505333762
"14","4q","tel","del","4q_tel_del",54851665,144482613,"4q","tel","del",68424414,123610311,"user",68424414,123610311,55185897,0.615701364667034,1,0.807850682333517
"15","6p","tel","amp","6p_tel_amp",20534687,22718153,"6p","tel","amp",5261250,44418161,"user",20534687,22718153,2183466,1,0.0557619573208929,0.527880978660446
"16","7q","tel","del","7q_tel_del",98246596,112348122,"7q","tel","del",145813452,148880118,"user",145813452,112348122,0,0,0,0
"17","8p","tel","del","8p_tel_del",22477946,41909544,"8p","tel","del",8559665,25273232,"user",22477946,25273232,2795286,0.143852605431627,0.167246524933905,0.155549565182766
