Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
14	69254371	69262960	q24.1	ZFP36L1	NM_001244701	0.429700520213262	0.429600048409886	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69340839	69446083	q24.1	ACTN1	NM_001102	0.428689040891533	0.427457924990435	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69446398	69454180	q24.1	ACTN1-AS1	NR_073422	0.42745424020547	0.427363208470242	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69517636	69619914	q24.1	DCAF5	NM_001284206	0.426620917312361	0.425424496878584	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69658193	69710737	q24.1	EXD2	NM_001193361	0.424976719470103	0.424362073942498	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69726680	69821190	q24.1	GALNT16	NM_020692	0.424175577032354	0.423070024565584	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69846839	69865021	q24.1	ERH	NM_004450	0.422769989487601	0.422557301359881	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69865095	69929107	q24.1	SLC39A9	NM_001252152	0.422556435727858	0.42180764063207	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	69951470	69995215	q24.1	PLEKHD1	NM_001161498	0.421546044295022	0.421034327094103	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	70036530	70041600	q24.1	CCDC177	NM_001271507	0.420551035377199	0.42049172788586	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	70078309	70181861	q24.1	SUSD6	NM_014734	0.420062315913553	0.418850992571696	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	70232999	70234430	q24.2	LOC100289511	NR_029378	0.418252794052537	0.418236054600839	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
14	70233803	70238722	q24.2	SRSF5	NM_006925	0.418243389077579	0.418185847943476	0.0918169116799542	1.85433234267673e-06	5.73181242679581	845	69215951	70793280	0.411698778163908	0.430149947001679	PANCAN	14	del	tel	p	1	0.95	594	259	5.43773501124613e-05	4.264581960036053	0.39156074517655626	p
