Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
18	39060235	39100641	q12.3	KC6	NR_002838	0.651306651166818	0.650614998479788	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	39535162	39661446	q12.3	PIK3C3	NM_002647	0.643177053193922	0.641015377503954	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	39766632	40271389	q12.3	LINC00907	NR_046174	0.639214848386054	0.630574633186655	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	40323182	40695657	q12.3	RIT2	NM_002930	0.629688062686746	0.623312194384977	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	40847856	40857615	q12.3	SYT4	NM_020783	0.62070691676994	0.62053986636721	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	41903399	42111662	q12.3	LINC01478	NR_110792	0.602638581566626	0.599073624293973	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	42111743	42133868	q12.3	LINC01601	NR_131768	0.599072237770495	0.598693511450133	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	42260862	42648475	q12.3	SETBP1	NM_015559	0.596519682282767	0.589884688148788	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	42550046	42550131	q12.3	MIR4319	NR_036203	0.591569553820511	0.591568098826738	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	42792946	43263060	q12.3	SLC14A2	NM_001242692	0.58741169514409	0.579364484053902	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
18	43018148	43087001	q12.3	SLC14A2-AS1	NR_110899	0.583556783288811	0.582378186979846	0.385528421345597	1.06345199793112e-09	8.97328210849197	72	38320834	47121315	0.51332051934582	0.663963402353331	coadread	18q	del	tel	p	1	0.95	60	15	2.02284794956522e-07	6.694036760405929	2.5807414246686924	p
