Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
7	77428108	77586821	q21.11	PHTF2	NM_001127358	0.849738478496718	0.8480725999874	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	77646373	79082890	q21.11	MAGI2	NM_012301	0.847447532116546	0.832369606561802	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	77976558	77988770	q21.11	RPL13AP17	NR_003680	0.843981854474518	0.843853675255703	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	78638303	78641593	q21.11	MAGI2-AS2	NR_046689	0.837036066957751	0.837001534560936	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	79082272	79100524	q21.11	MAGI2-AS3	NR_038345	0.832376093194395	0.832184517113343	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	79764139	79848725	q21.11	GNAI1	NM_002069	0.825219101760088	0.824331272788364	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	80000832	80003755	q21.11	LOC101927269	NR_110075	0.822734731973076	0.822704051670374	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	80087950	80141325	q21.11	GNAT3	NM_001102386	0.821820326700825	0.821260093667394	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	80231503	80303734	q21.11	CD36	NM_001001547	0.820313570117255	0.819555421316548	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	80371851	80551695	q21.11	SEMA3C	NM_001350120	0.818840453756114	0.816952780694488	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	81145062	81191135	q21.11	LOC105369146	NR_136264	0.810724700238328	0.810241110232722	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	81205701	81320722	q21.11	LOC100128317	NR_126025	0.810088223031505	0.808880943148822	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	81328323	81399514	q21.11	HGF	NM_001010932	0.808801161766394	0.808053928981701	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	81575759	82073122	q21.11	CACNA2D1	NM_000722	0.806204031633187	0.800983625409185	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
7	81638492	81659271	q21.11	LOC101927356	NR_110076	0.805545575447965	0.805327475547232	0.157340301974443	0.0016226774219821	2.78976780659219	150	77466628	82965792	0.791614010009609	0.849334166057417	TCGA	7q	amp	tel	p	1	0.95	45	110	0.0427692194371697	1.368868675794706	0.21537821081289493	p
